Source,Target,Type
2,3,Directed
2,4,Directed
2,5,Directed
2,6,Directed
7,8,Directed
7,9,Directed
7,10,Directed
11,3,Directed
11,12,Directed
11,13,Directed
11,14,Directed
15,3,Directed
15,16,Directed
15,17,Directed
15,18,Directed
15,19,Directed
20,3,Directed
20,21,Directed
20,5,Directed
20,22,Directed
23,3,Directed
23,24,Directed
23,25,Directed
23,6,Directed
26,3,Directed
26,27,Directed
26,5,Directed
26,28,Directed
29,3,Directed
29,30,Directed
29,5,Directed
29,31,Directed
32,3,Directed
32,33,Directed
32,13,Directed
32,34,Directed
35,3,Directed
35,36,Directed
35,5,Directed
37,3,Directed
37,38,Directed
37,5,Directed
37,28,Directed
39,3,Directed
39,40,Directed
39,28,Directed
39,5,Directed
41,3,Directed
41,42,Directed
41,43,Directed
41,44,Directed
45,3,Directed
45,46,Directed
45,5,Directed
47,3,Directed
47,48,Directed
47,28,Directed
47,44,Directed
49,3,Directed
49,50,Directed
49,51,Directed
49,52,Directed
49,10,Directed
49,14,Directed
49,53,Directed
54,3,Directed
54,25,Directed
55,3,Directed
55,56,Directed
55,13,Directed
55,57,Directed
58,3,Directed
58,59,Directed
60,3,Directed
60,61,Directed
60,25,Directed
62,3,Directed
62,63,Directed
62,5,Directed
62,31,Directed
64,3,Directed
64,65,Directed
64,14,Directed
66,3,Directed
66,67,Directed
66,44,Directed
68,3,Directed
68,69,Directed
68,14,Directed
68,43,Directed
70,3,Directed
70,71,Directed
70,31,Directed
70,5,Directed
72,3,Directed
72,73,Directed
72,74,Directed
72,18,Directed
72,25,Directed
75,3,Directed
75,76,Directed
75,43,Directed
75,14,Directed
77,3,Directed
77,78,Directed
77,31,Directed
77,5,Directed
79,3,Directed
79,80,Directed
79,22,Directed
79,5,Directed
81,3,Directed
81,82,Directed
81,5,Directed
81,31,Directed
83,3,Directed
83,84,Directed
83,25,Directed
85,3,Directed
85,86,Directed
85,5,Directed
85,28,Directed
87,3,Directed
87,88,Directed
87,28,Directed
87,5,Directed
89,3,Directed
89,90,Directed
89,14,Directed
91,3,Directed
91,92,Directed
91,14,Directed
91,22,Directed
93,3,Directed
93,94,Directed
93,43,Directed
93,5,Directed
95,3,Directed
95,96,Directed
95,5,Directed
95,28,Directed
97,3,Directed
97,98,Directed
97,31,Directed
97,5,Directed
99,3,Directed
99,100,Directed
99,101,Directed
99,102,Directed
99,103,Directed
99,10,Directed
99,104,Directed
105,3,Directed
105,106,Directed
105,107,Directed
105,108,Directed
105,14,Directed
105,10,Directed
105,53,Directed
109,3,Directed
109,110,Directed
109,6,Directed
109,5,Directed
111,3,Directed
111,112,Directed
111,5,Directed
113,3,Directed
113,114,Directed
113,5,Directed
113,28,Directed
115,3,Directed
115,116,Directed
115,57,Directed
115,43,Directed
117,3,Directed
117,118,Directed
117,5,Directed
119,3,Directed
119,120,Directed
119,5,Directed
119,31,Directed
121,3,Directed
121,122,Directed
121,25,Directed
123,3,Directed
123,124,Directed
123,5,Directed
123,22,Directed
125,3,Directed
125,126,Directed
125,127,Directed
125,128,Directed
125,10,Directed
125,103,Directed
125,129,Directed
130,3,Directed
130,131,Directed
130,132,Directed
130,13,Directed
133,3,Directed
133,73,Directed
134,3,Directed
134,135,Directed
136,3,Directed
136,137,Directed
136,5,Directed
138,3,Directed
138,139,Directed
138,5,Directed
138,28,Directed
140,3,Directed
140,141,Directed
140,6,Directed
140,25,Directed
142,3,Directed
142,143,Directed
144,3,Directed
144,145,Directed
144,146,Directed
144,18,Directed
147,3,Directed
147,148,Directed
147,149,Directed
147,103,Directed
147,10,Directed
147,150,Directed
151,3,Directed
151,152,Directed
151,5,Directed
151,28,Directed
153,3,Directed
153,154,Directed
153,5,Directed
153,28,Directed
155,3,Directed
155,156,Directed
155,157,Directed
155,25,Directed
155,18,Directed
158,3,Directed
158,159,Directed
158,59,Directed
158,18,Directed
158,14,Directed
160,3,Directed
160,161,Directed
160,162,Directed
160,163,Directed
164,3,Directed
164,165,Directed
164,28,Directed
164,5,Directed
166,3,Directed
166,167,Directed
166,25,Directed
168,3,Directed
168,169,Directed
168,170,Directed
168,18,Directed
168,25,Directed
171,3,Directed
171,135,Directed
171,172,Directed
171,18,Directed
171,14,Directed
173,3,Directed
173,174,Directed
173,5,Directed
175,3,Directed
175,176,Directed
175,6,Directed
175,5,Directed
177,3,Directed
177,178,Directed
177,13,Directed
177,5,Directed
179,3,Directed
179,180,Directed
179,5,Directed
179,28,Directed
181,3,Directed
181,182,Directed
181,43,Directed
181,25,Directed
183,3,Directed
183,156,Directed
184,3,Directed
184,143,Directed
184,185,Directed
184,25,Directed
184,18,Directed
186,3,Directed
186,187,Directed
186,5,Directed
188,3,Directed
188,189,Directed
188,5,Directed
190,3,Directed
